env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-7B-Instruct,False,49,0.0,3,2,126,3.8889167308807373
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,116,3.6384522914886475
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,121,3.7575337886810303
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,117,3.671454668045044
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-7B-Instruct,False,33,0.0,3,3,84,2.6110494136810303
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-7B-Instruct,False,48,0.0,3,3,120,3.750312566757202
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-7B-Instruct,True,11,0.9494897959183674,3,3,25,0.7679915428161621
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,123,3.810335636138916
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-7B-Instruct,True,18,0.9173469387755102,3,3,44,1.3452131748199463
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,125,3.4174983501434326
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,120,3.3273491859436035
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,124,3.373368501663208
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,100,2.778057336807251
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,101,2.8010799884796143
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,120,3.6720545291900635
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,120,3.6983530521392822
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,119,3.649113178253174
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,118,3.6141467094421387
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,2,116,3.5901238918304443
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,123,3.893807888031006
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,125,3.9068806171417236
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,121,3.7701680660247803
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,121,3.7896738052368164
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,3,102,3.3584532737731934
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,100,2.8114964962005615
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,100,2.7927615642547607
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,100,2.7959911823272705
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,102,2.843440294265747
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,1,100,2.790789842605591
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,100,3.168391466140747
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,104,3.3047635555267334
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,100,3.2063655853271484
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,100,3.2407214641571045
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,2,101,3.2718288898468018
MiniGrid-BlockedUnlockPickup-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,100,3.4137015342712402
MiniGrid-BlockedUnlockPickup-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,102,3.427239418029785
MiniGrid-BlockedUnlockPickup-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,100,3.3539135456085205
MiniGrid-BlockedUnlockPickup-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,106,3.473331928253174
MiniGrid-BlockedUnlockPickup-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,3,3,100,3.3169779777526855
MiniGrid-DoorKey-5x5-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,150,4.009272575378418
MiniGrid-DoorKey-5x5-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,150,4.001140117645264
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,150,4.013406276702881
